Date,ID,Title,Artist,ISRC,Comments,,
22/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,231,,
22/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,2154,,
22/07/2021,1055542654,T-wayne - Player,T-wayne,,608,,
22/07/2021,1060249351,"Lil Baby, Lil Durk - How It Feels",Lil Baby,,914,,
22/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,5285,,
22/07/2021,763890439,Took Her To The O,King Von,,38920,,
22/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,5138,,
22/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,670,,
22/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,3418,,
22/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,11084,,
22/07/2021,984680650,No Hoodie,Curly J,,930,,
22/07/2021,1003330801,Street Runner,Rod Wave,,7489,,
22/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,1252,,
22/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,1130,,
22/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,528,,
22/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,514,,
22/07/2021,1048163956,good 4 u,Olivia Rodrigo,,7434,,
22/07/2021,1009475770,Headshot,Lil Tjay,,7859,,
22/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,103560,,
22/07/2021,1084381669,Motley Crew,Post Malone,,669,,
22/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,1425,,
22/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,31432,,
22/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,441,,
22/07/2021,783914911,"Rvssian, Lil Mosey, Lil Tjay - Only The Team (with Lil Mosey & Lil Tjay)",Rvssian,,8072,,
22/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,56013,,
22/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,107407,,
22/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,1236,,
22/07/2021,1077630940,Cry No More,G Herbo,,552,,
22/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,9617,,
22/07/2021,229787464,Gassed Up,Nebu Kiniza,,21734,,
22/07/2021,1060248796,"Lil Baby, Lil Durk - Okay",Lil Baby,,476,,
22/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,3060,,
22/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,14996,,
22/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,14366,,
22/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,96,,
22/07/2021,646792641,"Clever - All In (feat. Polo G, G Herbo)",Clever,,2246,,
22/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,10586,,
22/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,1228,,
22/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,47272,,
22/07/2021,1066292437,Feelin' Peachy,Kodak Black,,372,,
22/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,464,,
22/07/2021,574858791,Robbery,Juice WRLD,,105940,,
22/07/2021,973586695,Time Today,MoneyBagg Yo,,2615,,
23/07/2021,1056306229,Touchable,Remble,,3073,,
23/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2426,,
23/07/2021,1026185437,2055,Sleepy Hallow,,3395,,
23/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,26669,,
23/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,2826,,
23/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,5494,,
23/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,2915,,
23/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,737,,
23/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,10148,,
23/07/2021,1056690214,Tell Em,cochise,,7963,,
23/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,2784,,
23/07/2021,1034990764,Wockesha,MoneyBagg Yo,,3809,,
23/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,21537,,
23/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,21903,,
23/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,7845,,
23/07/2021,1061728813,Late At Night,Roddy Ricch,,1758,,
23/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,3823,,
23/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,1281,,
23/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,28925,,
23/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,2870,,
23/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,8989,,
23/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,1642,,
23/07/2021,1067887690,DDG - ICarly Freestyle,D40,,577,,
23/07/2021,1075291135,Cabo,BANKROL HAYDEN,,916,,
23/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,41267,,
23/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,4796,,
23/07/2021,1060725346,"Lil Baby,  Lil Durk,  Meek Mill - Still Runnin",Lil Baby,,1732,,
23/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,555,,
23/07/2021,1013619421,Tombstone,Rod Wave,,11316,,
23/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,16429,,
23/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,1180,,
23/07/2021,1060725400,"Lil Baby, Lil Durk,  Travis Scott - Hats Off",Lil Baby,,1931,,
23/07/2021,1064620738,Polo G - Toxic,POLO G,,1415,,
23/07/2021,816595933,Polo G - Martin & Gina,POLO G,,34474,,
23/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,4226,,
23/07/2021,1074518497,"Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME","Tyler, The Creator",,2188,,
23/07/2021,729604123,,LUCKY3RD,,2689,,
23/07/2021,937006552,Lil Baby - On Me,Lil Baby,,17432,,
23/07/2021,1052667649,"Switch it Up (feat. G Herbo, No More Heroes)",Pooh Shiesty,,958,,
23/07/2021,1056040759,ft OGbobbybillions ,blueface,,2184,2197,
23/07/2021,1035859378,Final Warning,NLE Choppa,,4839,,
23/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,2540,,
23/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,498,,
23/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,10809,,
23/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,5390,,
23/07/2021,975542488,Pain,pinkpantheress,,3314,,
23/07/2021,373180994,All Girls Are The Same,Juice WRLD,,85607,,
23/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,221,,
23/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,4982,,
23/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,8818,,
23/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,438,,
23/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,395,,
23/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,4936,,
23/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,18780,,
23/07/2021,1064620216,Polo G - Black Hearted,POLO G,,1544,,
23/07/2021,855569809,HIM.,Jaywall,,2909,,
23/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,242,,
23/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,2158,,
23/07/2021,1055542654,T-wayne - Player,T-wayne,,614,,
23/07/2021,1060249351,"Lil Baby,  Lil Durk - How It Feels",Lil Baby,,918,,
23/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,5299,,
23/07/2021,763890439,Took Her To The O,King Von,,38937,,
23/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,5152,,
23/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,685,,
23/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,3424,,
23/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,11096,,
23/07/2021,984680650,No Hoodie,Curly J,,938,,
23/07/2021,1003330801,Street Runner,Rod Wave,,7497,,
23/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,1267,,
23/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,1133,,
23/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,562,,
23/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,541,,
23/07/2021,1048163956,good 4 u,Olivia Rodrigo,,7470,,
23/07/2021,1009475770,Headshot,Lil Tjay,,7864,,
23/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,103582,,
23/07/2021,1084381669,Motley Crew,Post Malone,,682,,
23/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,1458,,
23/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,31440,,
23/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,441,,
23/07/2021,783914911,"Rvssian, Lil Mosey, Lil Tjay - Only The Team (with Lil Mosey & Lil Tjay)",Rvssian,,8079,,
23/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,56032,,
23/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,107460,,
23/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,1245,,
23/07/2021,1077630940,Cry No More,G Herbo,,566,,
23/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,9627,,
23/07/2021,229787464,Gassed Up,Nebu Kiniza,,21742,,
23/07/2021,1060248796,"Lil Baby, Lil Durk,  Travis Scott - Hats Off",Lil Baby,,476,,
23/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,3066,,
23/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,14999,,
23/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,14375,,
23/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,98,,
23/07/2021,646792641,"Clever - All In (feat. Polo G, G Herbo)",Clever,,2247,,
23/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,10612,,
23/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,1243,,
23/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,47286,,
23/07/2021,1066292437,Feelin' Peachy,Kodak Black,,373,,
23/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,466,,
23/07/2021,574858791,Robbery,Juice WRLD,,105962,,
23/07/2021,973586695,Time Today,MoneyBagg Yo,,2625,,
23/07/2021,1088499046,Pop Smoke - More Time,POP SMOKE,,352,,
23/07/2021,1088499322,Pop Smoke - Woo Baby (feat. Chris Brown),POP SMOKE,,299,,
23/07/2021,1088499232,Pop Smoke - Merci Beaucoup,POP SMOKE,,386,,
23/07/2021,1083312043,MATERIALISM AS A MEANS TO AN END,$UICIDEBOY$,,1524,,
23/07/2021,1051744639,Outside - Blueface (ft. OG Bobby Billions),ethanw2,,720,,
24/07/2021,1056306229,Touchable,Remble,,3204,,
24/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2522,,
24/07/2021,1026185437,2055,Sleepy Hallow,,3486,,
24/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,26747,,
24/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,3110,,
24/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,5558,,
24/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,2948,,
24/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,818,,
24/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,10207,,
24/07/2021,1056690214,Tell Em,cochise,,8030,,
24/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,2839,,
24/07/2021,1034990764,Wockesha,MoneyBagg Yo,,3845,,
24/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,21610,,
24/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,21945,,
24/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,7868,,
24/07/2021,1061728813,Late At Night,Roddy Ricch,,1788,,
24/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,3855,,
24/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,1313,,
24/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,28969,,
24/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,2887,,
24/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,9002,,
24/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,1660,,
24/07/2021,1067887690,DDG - ICarly Freestyle,D40,,606,,
24/07/2021,1075291135,Cabo,BANKROL HAYDEN,,974,,
24/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,41309,,
24/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,4861,,
24/07/2021,1060725346,Lil Baby, Lil Durk,,1745,,
24/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,575,,
24/07/2021,1013619421,Tombstone,Rod Wave,,11337,,
24/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,16478,,
24/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,1211,,
24/07/2021,1060725400,Lil Baby, Lil Durk,,1951,,
24/07/2021,1064620738,Polo G - Toxic,POLO G,,1436,,
24/07/2021,816595933,Polo G - Martin & Gina,POLO G,,34499,,
24/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,4242,,
24/07/2021,1074518497,Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME,,2208,,
24/07/2021,729604123,,LUCKY3RD,,2705,,
24/07/2021,937006552,Lil Baby - On Me,Lil Baby,,17449,,
24/07/2021,1052667649,Switch it Up (feat. G Herbo, No More Heroes),,971,,
24/07/2021,1056040759,ft OGbobbybillions ,blueface,,2218,,
24/07/2021,1035859378,Final Warning,NLE Choppa,,4860,,
24/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,2552,,
24/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,520,,
24/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,10830,,
24/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,5410,,
24/07/2021,975542488,Pain,pinkpantheress,,3351,,
24/07/2021,373180994,All Girls Are The Same,Juice WRLD,,85627,,
24/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,232,,
24/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,4988,,
24/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,8839,,
24/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,463,,
24/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,425,,
24/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,4952,,
24/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,18787,,
24/07/2021,1064620216,Polo G - Black Hearted,POLO G,,1551,,
24/07/2021,855569809,HIM.,Jaywall,,2917,,
24/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,248,,
24/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,2168,,
24/07/2021,1055542654,T-wayne - Player,T-wayne,,621,,
24/07/2021,1060249351,Lil Baby, Lil Durk - How It Feels,,920,,
24/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,5302,,
24/07/2021,763890439,Took Her To The O,King Von,,38955,,
24/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,5171,,
24/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,692,,
24/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,3432,,
24/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,11108,,
24/07/2021,984680650,No Hoodie,Curly J,,946,,
24/07/2021,1003330801,Street Runner,Rod Wave,,7499,,
24/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,1274,,
24/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,1139,,
24/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,598,,
24/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,570,,
24/07/2021,1048163956,good 4 u,Olivia Rodrigo,,7514,,
24/07/2021,1009475770,Headshot,Lil Tjay,,7868,,
24/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,103600,,
24/07/2021,1084381669,Motley Crew,Post Malone,,694,,
24/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,1506,,
24/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,31449,,
24/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,446,,
24/07/2021,783914911,Rvssian, Lil Mosey,,8086,,
24/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,56045,,
24/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,107481,,
24/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,1254,,
24/07/2021,1077630940,Cry No More,G Herbo,,575,,
24/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,9632,,
24/07/2021,229787464,Gassed Up,Nebu Kiniza,,21744,,
24/07/2021,1060248796,Lil Baby, Lil Durk - Okay,,478,,
24/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,3070,,
24/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,15006,,
24/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,14393,,
24/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,100,,
24/07/2021,646792641,Clever - All In (feat. Polo G, G Herbo),,2251,,
24/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,10631,,
24/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,1254,,
24/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,47299,,
24/07/2021,1066292437,Feelin' Peachy,Kodak Black,,376,,
24/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,467,,
24/07/2021,574858791,Robbery,Juice WRLD,,105994,,
24/07/2021,973586695,Time Today,MoneyBagg Yo,,2628,,
24/07/2021,1088499046,Pop Smoke - More Time,POP SMOKE,,369,,
24/07/2021,1088499322,Pop Smoke - Woo Baby (feat. Chris Brown),POP SMOKE,,323,,
24/07/2021,1088499232,Pop Smoke - Merci Beaucoup,POP SMOKE,,411,,
24/07/2021,1083312043,MATERIALISM AS A MEANS TO AN END,$UICIDEBOY$,,1588,,
24/07/2021,1051744639,Outside - Blueface (ft. OG Bobby Billions),ethanw2,,730,,
24/07/2021,1090451293,Kodak Black - Senseless,rapcomeup,,234,,
24/07/2021,1086195169,MIA,ssgkobe,,674,,
24/07/2021,1088500204,Pop Smoke - Brush Em (feat. Rah Swish),POP SMOKE,,311,,
24/07/2021,1088500420,Pop Smoke - Beat The Speaker,POP SMOKE,,248,,
24/07/2021,1088500051,Pop Smoke - Tell The Vision (feat. Kanye West & Pusha T),POP SMOKE,,505,,
24/07/2021,1078392811,Lil Nas X - Industry Baby but without Jack Harlow,weyki,,519,,
24/07/2021,1079066473,How,JayPareil,,237,,
25/07/2021,1056306229,Touchable,Remble,,3372,,
25/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2608,,
25/07/2021,1026185437,2055,Sleepy Hallow,,3577,,
25/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,26809,,
25/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,3374,,
25/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,5601,,
25/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,2983,,
25/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,857,,
25/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,10238,,
25/07/2021,1056690214,Tell Em,cochise,,8095,,
25/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,2895,,
25/07/2021,1034990764,Wockesha,MoneyBagg Yo,,3874,,
