Shazam Top 200 United States Chart,,,,,
"Sunday, 16 May 2021 [performance over the past 7 days]",,,,,
Rank,Artist,Title,Shazams,URL,Song ID
187,Miley Cyrus,Plastic Hearts,144395,https://www.shazam.com/track/542163679/plastic-hearts,542163679
188,Harry Styles,Adore You,4399596,https://www.shazam.com/track/502038750/adore-you,502038750
189,Cannons,Fire for You,1181681,https://www.shazam.com/track/463104430/fire-for-you,463104430
190,girl in red,Serotonin,145571,https://www.shazam.com/track/552020719/serotonin,552020719
191,Riton & Nightcrawlers Feat. Mufasa & Hypeman,Friday [Dopamine Re-Edit],3492962,https://www.shazam.com/track/549867298/friday-dopamine-re-edit,549867298
192,Surf Mesa Feat. Emilee,ily (i love you baby),6782995,https://www.shazam.com/track/504310232/ily-i-love-you-baby,504310232
193,Justin Moore,We Didn't Have Much,121898,https://www.shazam.com/track/538802718/we-didnt-have-much,538802718
194,21 Savage,Spiral: From The Book of Saw Soundtrack,33866,https://www.shazam.com/track/567339305/spiral-from-the-book-of-saw-soundtrack,567339305
195,Nirvana,Smells Like Teen Spirit,7092042,https://www.shazam.com/track/10530810/smells-like-teen-spirit,10530810
196,"Fat Joe, DJ Khaled & Amorphous",Sunshine (The Light),745377,https://www.shazam.com/track/554447834/sunshine-the-light,554447834
197,Cardi B,Up,1361363,https://www.shazam.com/track/556549439/up,556549439
198,Ariana Grande,positions,1921306,https://www.shazam.com/track/541712669/positions,541712669
199,Josh Turner,Would You Go With Me,807189,https://www.shazam.com/track/43745435/would-you-go-with-me,43745435
200,Tears For Fears,Everybody Wants To Rule The World,5259180,https://www.shazam.com/track/244019/everybody-wants-to-rule-the-world,244019
