Date,ID,Title,Artist,ISRC,Rank,,
23/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,12,,
23/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,14,,
23/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,16,,
23/07/2021,1061728813,Late At Night,Roddy Ricch,,17,,
23/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,18,,
23/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,19,,
23/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,20,,
23/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,22,,
23/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,25,,
23/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,21,,
23/07/2021,1067887690,DDG - ICarly Freestyle,D40,,23,,
23/07/2021,1075291135,Cabo,BANKROL HAYDEN,,15,,
23/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,24,,
23/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,28,,
23/07/2021,1060725346,Lil Baby, Lil Durk,, Meek Mill - Still Runnin,Lil Baby,29
23/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,27,,
23/07/2021,1013619421,Tombstone,Rod Wave,,30,,
23/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,31,,
23/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,37,,
23/07/2021,1060725400,Lil Baby, Lil Durk,, Travis Scott - Hats Off,Lil Baby,33
23/07/2021,1064620738,Polo G - Toxic,POLO G,,26,,
23/07/2021,816595933,Polo G - Martin & Gina,POLO G,,34,,
23/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,32,,
23/07/2021,1074518497,Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME,,Tyler, The Creator,41
23/07/2021,729604123,,LUCKY3RD,,36,,
23/07/2021,937006552,Lil Baby - On Me,Lil Baby,,39,,
23/07/2021,1052667649,Switch it Up (feat. G Herbo, No More Heroes),,Pooh Shiesty,38,
23/07/2021,1056040759,ft OGbobbybillions ,blueface,,40,40,
23/07/2021,1035859378,Final Warning,NLE Choppa,,43,,
23/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,45,,
23/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,42,,
23/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,44,,
23/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,46,,
23/07/2021,975542488,Pain,pinkpantheress,,48,,
23/07/2021,373180994,All Girls Are The Same,Juice WRLD,,50,,
23/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,47,,
23/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,52,,
23/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,53,,
23/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,35,,
23/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,49,,
23/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,55,,
23/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,56,,
23/07/2021,1064620216,Polo G - Black Hearted,POLO G,,60,,
23/07/2021,855569809,HIM.,Jaywall,,58,,
23/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,57,,
23/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,59,,
23/07/2021,1055542654,T-wayne - Player,T-wayne,,61,,
23/07/2021,1060249351,Lil Baby, Lil Durk - How It Feels,,Lil Baby,64,
23/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,62,,
23/07/2021,763890439,Took Her To The O,King Von,,63,,
23/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,66,,
23/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,72,,
23/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,68,,
23/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,67,,
23/07/2021,984680650,No Hoodie,Curly J,,65,,
23/07/2021,1003330801,Street Runner,Rod Wave,,70,,
23/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,69,,
23/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,71,,
23/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,51,,
23/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,54,,
23/07/2021,1048163956,good 4 u,Olivia Rodrigo,,75,,
23/07/2021,1009475770,Headshot,Lil Tjay,,76,,
23/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,74,,
23/07/2021,1084381669,Motley Crew,Post Malone,,83,,
23/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,85,,
23/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,78,,
23/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,79,,
23/07/2021,783914911,Rvssian, Lil Mosey,, Lil Tjay - Only The Team (with Lil Mosey & Lil Tjay),Rvssian,73
23/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,80,,
23/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,82,,
23/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,84,,
23/07/2021,1077630940,Cry No More,G Herbo,,92,,
23/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,88,,
23/07/2021,229787464,Gassed Up,Nebu Kiniza,,87,,
23/07/2021,1060248796,Lil Baby, Lil Durk - Okay,,Lil Baby,91,
23/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,93,,
23/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,86,,
23/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,94,,
23/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,90,,
23/07/2021,646792641,Clever - All In (feat. Polo G, G Herbo),,Clever,89,
23/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,,,
23/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,,,
23/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,96,,
23/07/2021,1066292437,Feelin' Peachy,Kodak Black,,98,,
23/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,,,
23/07/2021,574858791,Robbery,Juice WRLD,,,,
23/07/2021,973586695,Time Today,MoneyBagg Yo,,,,
23/07/2021,1088499046,Pop Smoke - More Time,POP SMOKE,,1,,
23/07/2021,1088499322,Pop Smoke - Woo Baby (feat. Chris Brown),POP SMOKE,,4,,
23/07/2021,1088499232,Pop Smoke - Merci Beaucoup,POP SMOKE,,3,,
23/07/2021,1083312043,MATERIALISM AS A MEANS TO AN END,$UICIDEBOY$,,5,,
23/07/2021,1051744639,Outside - Blueface (ft. OG Bobby Billions),ethanw2,,2,,
24/07/2021,1056306229,Touchable,Remble,,1,,
24/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,5,,
24/07/2021,1026185437,2055,Sleepy Hallow,,3,,
24/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,4,,
24/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,2,,
24/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,6,,
24/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,15,,
24/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,7,,
24/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,8,,
24/07/2021,1056690214,Tell Em,cochise,,9,,
24/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,10,,
24/07/2021,1034990764,Wockesha,MoneyBagg Yo,,13,,
24/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,12,,
24/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,14,,
24/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,16,,
24/07/2021,1061728813,Late At Night,Roddy Ricch,,17,,
24/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,18,,
24/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,20,,
24/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,19,,
24/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,23,,
24/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,37,,
24/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,22,,
24/07/2021,1067887690,DDG - ICarly Freestyle,D40,,21,,
24/07/2021,1075291135,Cabo,BANKROL HAYDEN,,11,,
24/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,24,,
24/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,28,,
24/07/2021,1060725346,Lil Baby, Lil Durk,,30,,
24/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,27,,
24/07/2021,1013619421,Tombstone,Rod Wave,,29,,
24/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,31,,
24/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,50,,
24/07/2021,1060725400,Lil Baby, Lil Durk,,33,,
24/07/2021,1064620738,Polo G - Toxic,POLO G,,25,,
24/07/2021,816595933,Polo G - Martin & Gina,POLO G,,34,,
24/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,26,,
24/07/2021,1074518497,Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME,,46,,
24/07/2021,729604123,,LUCKY3RD,,42,,
24/07/2021,937006552,Lil Baby - On Me,Lil Baby,,39,,
24/07/2021,1052667649,Switch it Up (feat. G Herbo, No More Heroes),,38,,
24/07/2021,1056040759,ft OGbobbybillions ,blueface,,40,,
24/07/2021,1035859378,Final Warning,NLE Choppa,,45,,
24/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,52,,
24/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,41,,
24/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,49,,
24/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,48,,
24/07/2021,975542488,Pain,pinkpantheress,,47,,
24/07/2021,373180994,All Girls Are The Same,Juice WRLD,,53,,
24/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,43,,
24/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,54,,
24/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,55,,
24/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,32,,
24/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,44,,
24/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,60,,
24/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,57,,
24/07/2021,1064620216,Polo G - Black Hearted,POLO G,,64,,
24/07/2021,855569809,HIM.,Jaywall,,58,,
24/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,56,,
24/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,59,,
24/07/2021,1055542654,T-wayne - Player,T-wayne,,62,,
24/07/2021,1060249351,Lil Baby, Lil Durk - How It Feels,,68,,
24/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,61,,
24/07/2021,763890439,Took Her To The O,King Von,,66,,
24/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,71,,
24/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,86,,
24/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,75,,
24/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,70,,
24/07/2021,984680650,No Hoodie,Curly J,,67,,
24/07/2021,1003330801,Street Runner,Rod Wave,,76,,
24/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,72,,
24/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,74,,
24/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,35,,
24/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,36,,
24/07/2021,1048163956,good 4 u,Olivia Rodrigo,,81,,
24/07/2021,1009475770,Headshot,Lil Tjay,,84,,
24/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,79,,
24/07/2021,1084381669,Motley Crew,Post Malone,,,,
24/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,,,
24/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,80,,
24/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,82,,
24/07/2021,783914911,Rvssian, Lil Mosey,,78,,
24/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,85,,
24/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,89,,
24/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,83,,
24/07/2021,1077630940,Cry No More,G Herbo,,,,
24/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,95,,
24/07/2021,229787464,Gassed Up,Nebu Kiniza,,96,,
24/07/2021,1060248796,Lil Baby, Lil Durk - Okay,,99,,
24/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,,,
24/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,88,,
24/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,,,
24/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,92,,
24/07/2021,646792641,Clever - All In (feat. Polo G, G Herbo),,94,,
24/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,,,
24/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,,,
24/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,98,,
24/07/2021,1066292437,Feelin' Peachy,Kodak Black,,,,
24/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,,,
24/07/2021,574858791,Robbery,Juice WRLD,,,,
24/07/2021,973586695,Time Today,MoneyBagg Yo,,,,
24/07/2021,1088499046,Pop Smoke - More Time,POP SMOKE,,65,,
24/07/2021,1088499322,Pop Smoke - Woo Baby (feat. Chris Brown),POP SMOKE,,63,,
24/07/2021,1088499232,Pop Smoke - Merci Beaucoup,POP SMOKE,,73,,
24/07/2021,1083312043,MATERIALISM AS A MEANS TO AN END,$UICIDEBOY$,,69,,
24/07/2021,1051744639,Outside - Blueface (ft. OG Bobby Billions),ethanw2,,,,
24/07/2021,1090451293,Kodak Black - Senseless,rapcomeup,,1,,
24/07/2021,1086195169,MIA,ssgkobe,,5,,
24/07/2021,1088500204,Pop Smoke - Brush Em (feat. Rah Swish),POP SMOKE,,3,,
24/07/2021,1088500420,Pop Smoke - Beat The Speaker,POP SMOKE,,4,,
24/07/2021,1088500051,Pop Smoke - Tell The Vision (feat. Kanye West & Pusha T),POP SMOKE,,2,,
24/07/2021,1078392811,Lil Nas X - Industry Baby but without Jack Harlow,weyki,,6,,
24/07/2021,1079066473,How,JayPareil,,15,,
25/07/2021,1056306229,Touchable,Remble,,1,,
25/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,5,,
25/07/2021,1026185437,2055,Sleepy Hallow,,3,,
25/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,4,,
25/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,2,,
25/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,6,,
25/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,26,,
25/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,7,,
25/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,8,,
25/07/2021,1056690214,Tell Em,cochise,,9,,
25/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,10,,
25/07/2021,1034990764,Wockesha,MoneyBagg Yo,,13,,
25/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,12,,
25/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,14,,
25/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,16,,
25/07/2021,1061728813,Late At Night,Roddy Ricch,,17,,
25/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,19,,
25/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,21,,
25/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,20,,
